Coursename,Coursecode,Hours,Classification
Topics in Issues in Relational Communication,CMS 386R,3,Graduate
"Communication, Cognition, and Emotion",CMS 386S,3,Graduate
Doctoral Comprehensive Examination Preparation,"CMS 388C, 688C, 988C","3, 6, 9",Graduate
Topics in Seminar in Peace and Conflict,CMS 389C,3,Graduate
Research Internship,CMS 090F,0,Graduate
"Topics in Seminar in Language, Culture, and Interaction",CMS 390M,3,Graduate
Topics in Political Discourse,CMS 390N,3,Graduate
Topics in Rhetorical Theory,CMS 390P,3,Graduate
Topics in Seminar in Rhetorical Criticism,CMS 390R,3,Graduate
Topics in Seminar in Organizational Communication,CMS 390S,3,Graduate
Topics in Organizational Communication Theory,CMS 390T,3,Graduate
Consultation in Organizations,CMS 390U,3,Graduate
Topics in Seminar in Communication Technology,CMS 392P,3,Graduate
Topics in Strategic Communication,CMS 395C,3,Graduate
Capstone in Strategic Communication,CMS 395M,3,Graduate
Topics in Sport Communication,CMS 395S,3,Graduate
Thesis,CMS 698,6,Graduate
Master's Report,CMS 398R,3,Graduate
Supervised Teaching in Communication Studies,CMS 398T,3,Graduate
Dissertation,"CMS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 406
DegreeView
