Coursename,Coursecode,Hours,Classification
"Introduction to Philosophy, Politics, and Economics",PPE 301,3,Lower Division
"Topics in Philosophy, Politics, and Economics","PPE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
"Foundations of Philosophy, Politics, and Economics",PPE 320,3,Upper Division
"Topics in Philosophy, Politics, and Economics","PPE 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Capstone Course,PPE 379,3,Upper Division
,,Total Hours: 15
DegreeView
