Coursename,Coursecode,Hours,Classification
Topics in Introductory Surveys in Premodern History,AHC 310,3,Lower Division
The Ancient Mediterranean World,AHC 319D,3,Lower Division
Topics in Ancient History,"AHC 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Ancient History,"AHC 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Premodern History,AHC 330,3,Upper Division
Topics in Undergraduate Seminar in Ancient History,AHC 378,3,Upper Division
Honors Tutorial Course,AHC 679H,6,Upper Division
,,Total Hours: 24
DegreeView
