Coursename,Coursecode,Hours,Classification
"Food Writing, Culture, and Environment",E 345F,3,Upper Division
Gender and Speculative Fiction,E 345S,3,Upper Division
The Theater in Austin,E 345T,3,Upper Division
English Syntax for Writing,E 345W,3,Upper Division
Contemporary Poetry (1945 to the present),E 346C,3,Upper Division
Hitchcock's Vertigo in Context,E 346V,3,Upper Division
The Short Story,E 348,3,Upper Division
Julia Alvarez and Sandra Cisneros,E 348C,3,Upper Division
J. M. Coetzee,E 348J,3,Upper Division
Cormac McCarthy,E 348M,3,Upper Division
Plath and Sexton,E 348P,3,Upper Division
Zadie Smith,E 348S,3,Upper Division
J.R.R. Tolkien,E 348T,3,Upper Division
Bruce Springsteen,E 348U,3,Upper Division
Wes Anderson,E 348W,3,Upper Division
Danticat and Diaz,E 349D,3,Upper Division
Topics on Major Authors,E 349S,3,Upper Division
Bob Dylan,E 349W,3,Upper Division
Topics in Language and Literature: Beginnings to 1630,E 350E,3,Upper Division
Topics in Language and Literature: 1630 to 1830,E 350M,3,Upper Division
Topics in Language and Literature: 1830 to 1940,E 350R,3,Upper Division
Topics in Language and Literature: 1940-Present,E 350V,3,Upper Division
American Women Writers,E 350W,3,Upper Division
Angels and Devils in Victorian Fiction,E 351D,3,Upper Division
Victorian Oxford,E 351E,3,Upper Division
Literature and Business in Nineteenth-Century Britain,E 351F,3,Upper Division
London: One Hundred Years Ago,E 351L,3,Upper Division
Literature of Oxford,E 351O,3,Upper Division
Paradise Lost: Reception History,E 351P,3,Upper Division
Nineteenth Century Novels and Their Adaptations,E 351V,3,Upper Division
Classical Backgrounds of Literature,E 352C,3,Upper Division
American Dante,E 352D,3,Upper Division
Interwar United States Literature,E 352I,3,Upper Division
Arthurian Literature and Film,E 352K,3,Upper Division
Viking Literature,E 352V,3,Upper Division
Literature of the Harlem Renaissance,E 353R,3,Upper Division
Women in the Nineteenth-Century British Novel,E 353W,3,Upper Division
Crime Fiction,E 354C,3,Upper Division
Post-Darwin Novel,E 354D,3,Upper Division
From Middlemarch to Modernism,E 354M,3,Upper Division
Modern Poetry (1900-1945),E 354P,3,Upper Division
Vampires and Dandies,E 355V,3,Upper Division
The European Novel,E 356,3,Upper Division
Dickinson and Whitman,E 358D,3,Upper Division
Eliot and Hardy,E 358E,3,Upper Division
Faulkner and O'Connor,E 358F,3,Upper Division
The Bible as Literature,E 358J,3,Upper Division
The Bible in British and American Literature,E 358K,3,Upper Division
Robert Frost,E 358P,3,Upper Division
Supervised Research,E 358Q,3,Upper Division
Research Apprenticeship,E 358R,3,Upper Division
British Drama from 1660 to 1900,E 359,3,Upper Division
Postcolonial Literature,E 360C,3,Upper Division
English Grammar,E 360K,3,Upper Division
Literary Studies for High School Teachers of English,E 360R,3,Upper Division
British Drama to 1642,E 361K,3,Upper Division
The Scriblerians,E 361S,3,Upper Division
The Contemporary British Novel,E 362L,3,Upper Division
Milton,E 363,3,Upper Division
Classic to Romantic,E 363K,3,Upper Division
Early Black Atlantic,E 363S,3,Upper Division
African American Language,E 364E,3,Upper Division
History of the English Language,E 364M,3,Upper Division
Old English,E 364P,3,Upper Division
The English Language and Its Social Context,E 364T,3,Upper Division
"Sailors, Explorers, and the British Novel",E 364V,3,Upper Division
Dante,E 366D,3,Upper Division
Shakespeare: Selected Tragedies,E 366K,3,Upper Division
Conference Course in Literature and Language,E 367C,3,Upper Division
English Internship,E 367E,3,Upper Division
Bradstreet and Wheatley,E 368D,3,Upper Division
Honors Tutorial Course I,E 368H,3,Upper Division
Scott and Wordsworth,E 368S,3,Upper Division
Twentieth-Century Drama,E 369,3,Upper Division
Honors Tutorial Course II,E 369H,3,Upper Division
Victorian Prose: Essays and Ideas,E 370,3,Upper Division
Honors Tutorial Course for Teachers,E 470H,4,Upper Division
Early Celebrity Culture,E 371C,3,Upper Division
Shakespearean Afterlives,E 371S,3,Upper Division
Love and Betrayal in Troy,E 371T,3,Upper Division
The American Renaissance,E 372L,3,Upper Division
American Realism,E 372M,3,Upper Division
"Early Globalisms, 500-1500 CE",E 373M,3,Upper Division
Race in the Middle Ages,E 373R,3,Upper Division
Medieval Romance,E 374C,3,Upper Division
Beowulf,E 374G,3,Upper Division
Elizabethan Poetry and Prose,E 374K,3,Upper Division
"The Earlier Seventeenth Century: Donne, Jonson, and Their Contemporaries",E 374L,3,Upper Division
Representations of Only Children in Literature,E 375C,3,Upper Division
Narratives of Discovery and Conquest,E 375D,3,Upper Division
Drama of Jamestown,E 375J,3,Upper Division
Satire,E 375K,3,Upper Division
Victorian Literature,E 375L,3,Upper Division
The Image of the Cannibal in the Renaissance,E 375R,3,Upper Division
Chaucer,E 376,3,Upper Division
"Gender, Class, and Ethnicity in American Literature and Film",E 376F,3,Upper Division
African American Literature through the Harlem Renaissance,E 376R,3,Upper Division
African American Literature since the Harlem Renaissance,E 376S,3,Upper Division
The American Novel after 1920,E 377K,3,Upper Division
The American Novel after 1960,E 377M,3,Upper Division
Edmund Spenser,E 378E,3,Upper Division
Shakespeare at Winedale,E 678S,6,Upper Division
American Literature and Thought: 1600-1840,E 379,3,Upper Division
Digital Research Lab,E 379D,3,Upper Division
American Literature and Thought: 1840-1920,E 379K,3,Upper Division
Contemporary Drama,E 379L,3,Upper Division
Drama in Performance,E 379P,3,Upper Division
Practicum in Editing,E 381E,3,Graduate
Literature for Writers,E 381F,3,Graduate
Studies in Linguistic Analysis,E 382J,3,Graduate
Topics in Linguistics and Literature,E 382L,3,Graduate
Topics in The Teaching of English Composition and Literature,E 383L,3,Graduate
Topics in Methods of Literary Research,E 384K,3,Graduate
Scholarly Publication,E 384L,3,Graduate
Professional Outcomes,E 384M,3,Graduate
Workshop in Fiction,E 385F,3,Graduate
Creative Writing: Workshop in Fiction and Poetry,E 385W,3,Graduate
Workshop in Poetry,E 386P,3,Graduate
Topics in Rhetoric,E 387M,3,Graduate
Topics in Methods of Research in Rhetoric and Composition,E 387N,3,Graduate
Topics in Productions in Rhetoric,E 387P,3,Graduate
Topics in Rhetorical History,E 387R,3,Graduate
Topics in Digital Humanities,E 388D,3,Graduate
Topics in British and American Literature,E 389M,3,Graduate
"Topics in Women, Gender, and Literature",E 389P,3,Graduate
Topics in European Literature,E 390M,3,Graduate
Field and Prospectus Examination,"E 391F, 691F","3, 6",Graduate
Conference Course on Special Topics,"E 391L, 691L","3, 6",Graduate
Topics in English Literature,E 392M,3,Graduate
Topics in Criticism and Theory,E 393C,3,Graduate
Topics in American Literature,E 395M,3,Graduate
Topics in the History of Language,E 395N,3,Graduate
Topics in Language and Media,E 396E,3,Graduate
Topics in the English Language,E 396L,3,Graduate
Topics in the Literatures and Cultures of the English Speaking World,E 397M,3,Graduate
Topics in Ethnic and Third World Literatures,E 397N,3,Graduate
Thesis,E 698,6,Graduate
Digital Studies Practicum,E 398D,3,Graduate
Master's Report,E 398R,3,Graduate
Supervised Teaching in English,E 398T,3,Graduate
Dissertation,"E 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 778
DegreeView
